CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err,bsl_rms
T0,33.73333333333332,99.46666666666667,0.12264878191072466,0.0018735437135347919,440.8561116348934,0.2389059707579356,436.22979183266557,1.1655108385027084,0.009304516540933686,0.0024171882219969,2.5
T1,40.53333333333333,116.46666666666667,0.11741876313875664,0.007609164295215164,452.2809387609023,2.9909759947309538,447.3431634491709,3.3830015415224977,0.009741934599758395,0.008964333613601022,3.0
T2,34.866666666666674,101.73333333333332,0.11578005782735938,0.0058834962669897,449.7757991893342,1.687185787461555,445.69992202529596,0.3748437901523829,0.00808609490868188,0.003430287253781411,2.5
T3,37.133333333333326,108.53333333333333,0.11643557110232795,0.0073933778073138005,453.0083426180608,1.3876819101455635,447.2289636646729,2.0645309299000254,0.011417985146780715,0.004958358567103624,2.5
B0,26.933333333333337,90.4,0.14890521851027186,0.007594933774237952,435.658326430436,0.9693460907975144,431.67321914186795,1.0078471685996127,0.00785711011611833,0.002770266564518108,2.5
B1,36.0,104.0,0.1456281197006947,0.005876956683709968,456.9119577505247,1.4900985877894224,453.0151546199845,1.200982834674355,0.007349244244574211,0.0036216835634641587,2.5
B2,29.19999999999999,87.0,0.13511182555973672,0.006114838859698813,399.56560353861755,0.593815179931946,394.1733097698823,0.8288435736919835,0.011831676569907202,0.002257474212747111,3.0
B3,25.799999999999997,92.66666666666666,0.14669349647986518,0.007814458202125096,425.44218495462127,1.7330539520020514,421.05333054787445,1.8019329001845206,0.008894450504421947,0.005094179829436773,2.5
