CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err,bsl_rms
T0,54.133333333333326,174.26666666666665,0.2781732593809331,0.004819200982094869,750.0933729802515,1.9184027738518568,722.1178375826728,1.9786725930209499,0.02796425802290981,0.0028103864106870415,2.5
T1,64.33333333333334,198.06666666666666,0.2812097950384361,0.008119666437796073,753.9311732015287,2.549482286161004,727.0201512075657,1.9162367379116871,0.0266063863328091,0.0031958522748998137,3.0
T2,54.133333333333326,173.13333333333333,0.27205657468332145,0.0056800031455067155,751.7073318155617,1.4910754452030568,723.6978436949668,1.6276574042072922,0.028173806100860278,0.0022674680758101714,2.5
T3,59.79999999999998,184.46666666666664,0.27108116840474505,0.008160794771931917,753.450237383607,1.7114581985534358,725.7914759529243,2.1874330202430357,0.027777939991586207,0.0028557692900589016,2.5
B0,46.19999999999999,159.5333333333333,0.2933505616071105,0.005014113752771386,744.5343959743059,0.9394603417281756,718.1784649884765,1.3961527535428462,0.025932835273412058,0.0016978490308670702,2.5
B1,51.866666666666674,172.0,0.3040617198020359,0.0158462255894336,748.6288659299116,2.323799600270991,724.5608858460555,0.6535529696935414,0.023117213466248957,0.002324327136467714,2.5
B2,46.19999999999999,150.46666666666667,0.28906149799117054,0.004668304960097028,679.9254513893088,1.4173052527548835,660.3476541041249,1.038749927105068,0.02107770019027952,0.0019116113811734716,3.0
B3,39.400000000000006,158.39999999999998,0.2698196960586089,0.017580343517972587,725.7892755533153,4.0561121236762,699.6434170607374,4.160231805821303,0.027287029986107512,0.006181111184780429,2.5
