Energy(eV),T
1.58745,0.777046
1.58949,0.780223
1.59153,0.784133
1.59357,0.787868
1.59562,0.79179
1.59768,0.79675
1.59974,0.802299
1.60181,0.807103
1.60388,0.812278
1.60596,0.817359
1.60804,0.822864
1.61013,0.828377
1.61222,0.833434
1.61432,0.838967
1.61643,0.844561
1.61854,0.849587
1.62065,0.854646
1.62277,0.860266
1.6249,0.865486
1.62703,0.870876
1.62917,0.875494
1.63132,0.880121
1.63347,0.884059
1.63562,0.888157
1.63778,0.891195
1.63995,0.894994
1.64212,0.897769
1.6443,0.900792
1.64648,0.903316
1.64867,0.905907
1.65087,0.908084
1.65307,0.909574
1.65527,0.910811
1.65749,0.911317
1.65971,0.911722
1.66193,0.911369
1.66416,0.91109
1.6664,0.909509
1.66864,0.908376
1.67089,0.906454
1.67314,0.903797
1.67541,0.901047
1.67767,0.898388
1.67995,0.894043
1.68223,0.889797
1.68451,0.885365
1.6868,0.880323
1.6891,0.875599
1.69141,0.870989
1.69372,0.865553
1.69603,0.860433
1.69836,0.854952
1.70069,0.849529
1.70302,0.84372
1.70536,0.838243
1.70771,0.832583
1.71007,0.826887
1.71243,0.82098
1.7148,0.815494
1.71717,0.810282
1.71956,0.804525
1.72194,0.799183
1.72434,0.793739
1.72674,0.78893
1.72915,0.784189
1.73156,0.779453
1.73399,0.775153
1.73641,0.771186
1.73885,0.767342
1.74129,0.763421
1.74374,0.760705
1.7462,0.757629
1.74866,0.755109
1.75113,0.752229
1.75361,0.749954
1.75609,0.747923
1.75858,0.746378
1.76108,0.744389
1.76358,0.744321
1.7661,0.744348
1.76862,0.744541
1.77114,0.745138
1.77368,0.746655
1.77622,0.747115
1.77877,0.748741
1.78132,0.75002
1.78388,0.752649
1.78646,0.755138
1.78903,0.758152
1.79162,0.761298
1.79421,0.765167
1.79681,0.768716
1.79942,0.773457
1.80203,0.778083
1.80466,0.78302
1.80729,0.787882
1.80993,0.793064
1.81257,0.798493
1.81523,0.804585
1.81789,0.810209
1.82056,0.816766
1.82324,0.824078
1.82592,0.830387
1.82861,0.83702
1.83131,0.843709
1.83402,0.850575
1.83674,0.856539
1.83947,0.862916
1.8422,0.868855
1.84494,0.874892
1.84769,0.880174
1.85045,0.885326
1.85321,0.889786
1.85599,0.893468
1.85877,0.896648
1.86156,0.899253
1.86436,0.901207
1.86717,0.90272
1.86998,0.904143
1.87281,0.904768
1.87564,0.904939
1.87848,0.904771
1.88134,0.903964
1.88419,0.902337
1.88706,0.900217
1.88994,0.897465
1.89282,0.89359
1.89572,0.889512
1.89862,0.884566
1.90153,0.879464
1.90445,0.873501
1.90738,0.867355
1.91032,0.860521
1.91327,0.854053
1.91623,0.846979
1.9192,0.840076
1.92217,0.832853
1.92516,0.826215
1.92815,0.819176
1.93115,0.812107
1.93417,0.805339
1.93719,0.798956
1.94022,0.792133
1.94326,0.785432
1.94631,0.779548
1.94937,0.773474
1.95244,0.768146
1.95552,0.763335
1.95861,0.759788
1.96171,0.75597
1.96482,0.753111
1.96794,0.750134
1.97107,0.74817
1.9742,0.745616
1.97735,0.744232
1.98051,0.743142
1.98368,0.742987
1.98686,0.742615
1.99005,0.743698
1.99325,0.744693
1.99646,0.747105
1.99968,0.749453
2.00291,0.75249
2.00615,0.755988
2.0094,0.760384
2.01266,0.764501
2.01593,0.769934
2.01922,0.775579
2.02251,0.781692
2.02582,0.787806
2.02913,0.794632
2.03246,0.801589
2.0358,0.809008
2.03914,0.81637
2.0425,0.824378
2.04587,0.832335
2.04926,0.840207
2.05265,0.848314
2.05605,0.856195
2.05947,0.86385
2.0629,0.870964
2.06633,0.877774
2.06978,0.883856
2.07324,0.889537
2.07672,0.894279
2.0802,0.898448
2.0837,0.901665
2.08721,0.904045
2.09073,0.90522
2.09426,0.905592
2.0978,0.904647
2.10136,0.902652
2.10492,0.899711
2.1085,0.895918
2.1121,0.891086
2.1157,0.885633
2.11932,0.879482
2.12295,0.87263
2.12659,0.865084
2.13024,0.85698
2.13391,0.848443
2.13759,0.839293
2.14128,0.830428
2.14498,0.821675
2.1487,0.812874
2.15243,0.804482
2.15617,0.796961
2.15993,0.789198
2.1637,0.781967
2.16748,0.77523
2.17128,0.769255
2.17509,0.76347
2.17891,0.758864
2.18275,0.754836
2.1866,0.751804
2.19046,0.749077
2.19434,0.747329
2.19823,0.746001
2.20213,0.745879
2.20605,0.746603
2.20998,0.74843
2.21393,0.750957
2.21789,0.754459
2.22186,0.75869
2.22585,0.764047
2.22986,0.770148
2.23387,0.777113
2.23791,0.784801
2.24195,0.792752
2.24601,0.801232
2.25009,0.810022
2.25418,0.819228
2.25829,0.828689
2.26241,0.838797
2.26654,0.848774
2.2707,0.858661
2.27486,0.868388
2.27904,0.877643
2.28324,0.88618
2.28745,0.893502
2.29168,0.900071
2.29593,0.90541
2.30019,0.909281
2.30446,0.911831
2.30875,0.913143
2.31306,0.912604
2.31738,0.910602
2.32172,0.907635
2.32608,0.902842
2.33045,0.895862
2.33484,0.888437
2.33925,0.879718
2.34367,0.869942
2.34811,0.859657
2.35256,0.849816
2.35703,0.839076
2.36152,0.828105
2.36603,0.817425
2.37055,0.807135
2.3751,0.797402
2.37965,0.788343
2.38423,0.780547
2.38882,0.773168
2.39344,0.76661
2.39807,0.761672
2.40271,0.757483
2.40738,0.754217
2.41206,0.752783
2.41676,0.752732
2.42148,0.753072
2.42622,0.754946
2.43098,0.758128
2.43576,0.762357
2.44055,0.767276
2.44536,0.773511
2.4502,0.780644
2.45505,0.788891
2.45992,0.797371
2.46481,0.806948
2.46972,0.816933
2.47465,0.827636
2.4796,0.838001
2.48457,0.848527
2.48956,0.858278
2.49457,0.86753
2.4996,0.875865
2.50465,0.883287
2.50972,0.889028
2.51481,0.893341
2.51992,0.895759
2.52505,0.896369
2.5302,0.895158
2.53538,0.891886
2.54057,0.887363
2.54579,0.881119
2.55103,0.873136
2.55629,0.863749
2.56157,0.854053
2.56687,0.843228
