WL(nm),PDE(%)
350,46.495
360,37.5909
370,44.8851
380,55.548
390,45.6967
400,58.5336
410,57.7562
420,49.1092
430,58.2946
440,59.1968
450,48.1726
460,43.7364
470,49.6262
480,52.9158
490,44.8365
500,41.0722
510,41.1444
520,46.492
530,45.5202
540,39.0592
550,33.365
560,32.0497
570,32.6398
580,34.5871
590,34.9254
600,31.1397
610,26.8254
620,23.2662
630,22.4969
640,22.4263
650,21.1593
660,20.6771
670,21.3139
680,16.6074
690,15.9868
700,14.126
710,12.7136
720,11.4561
730,12.5699
740,12.8908
750,12.7239
760,11.7398
770,10.6906
780,9.63127
790,8.07883
800,7.1275
810,6.14495
820,5.06315
