CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,64.6875,197.5,0.2956788062441566,0.0044469814448719665,775.8209158449677,1.296775586737504,748.5920893998776,1.3787764172715087,0.03637338255460132,0.0025776746562841115
T1,65.75,200.6875,0.30279072299334386,0.007501120505806262,761.7152995472647,1.3494764783739273,736.0235035791703,0.9473442600922656,0.03490621677590333,0.002266261042382887
T2,58.3125,176.25,0.2847215472911684,0.004953297976434346,748.6985114807817,2.692072161315007,720.2524635672418,1.134701032049298,0.03949455135863511,0.004080699863178842
T3,54.0625,165.625,0.28688100718072795,0.005517588607361051,740.0828181500963,2.5653638368245892,716.9408315798861,1.8992043389547484,0.03227879561443503,0.004503479067134864
B0,59.79999999999998,185.59999999999997,0.27886857316870733,0.0070550059140453035,784.8303979045827,2.363123608746194,754.7017811694607,0.9411096365634276,0.039921221185453826,0.003389108359789578
B1,46.19999999999999,149.33333333333331,0.2654887123838494,0.00422896242039901,692.8203969793501,2.476633316149088,667.8178663507374,2.0648672189736286,0.0374391460432737,0.004903345237094669
B2,53.0,166.33333333333331,0.2620888704952899,0.004907443338196231,747.3695716127087,2.384195143675901,722.7357501474837,0.7243912095372445,0.034084133046135,0.003457836062843808
B3,43.93333333333334,168.59999999999997,0.2508739993677992,0.009009390782555585,772.6421566302672,2.384349844963101,737.7223461661866,1.6906708721568404,0.04733462480234296,0.004025812716416465
