CH,A1,sigma1,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,105.40554725961294,10.43696592077193,0.25884842796458796,0.005785784876759789,665.4513946512582,1.7539602296927923,646.1869679754672,1.5544827052379944,0.02981246547906613,0.0036748836674262513
T1,97.41775739626979,10.07099468462094,0.2566572329163396,0.00619771012660506,657.0666958900705,1.7922450470229572,639.260225618696,0.724143146468709,0.0278548071000988,0.0030357840349059034
T2,88.90079248287635,10.113652091514762,0.25508048309761394,0.00428380076030601,641.7830473264319,1.1183544250530073,627.9638535945201,1.228637231832803,0.022006352201340063,0.0026776991544720796
T3,110.1558287107754,9.14097793796132,0.2632662493172915,0.0077007697072278905,655.1581356080602,1.0728675636926284,641.3089961077237,1.6626179521042956,0.0215951118484079,0.0031326327745492396
B0,95.58376992275412,11.444183068398312,0.25204081952068347,0.0074040751467716595,665.8037244775563,2.3932515192377495,648.7447538573634,1.0478854661016879,0.026295350395918016,0.00404439567457955
B1,86.79713597397384,8.452012715967971,0.21668059280571825,0.006461679593044274,651.1595790252883,1.489167973109144,634.6060890152164,0.835555807353903,0.026084669366724267,0.0027077175995419782
B2,92.402011433782,12.459961114487028,0.2298626024451801,0.07282906642690891,657.6682441974174,6.34687809599053,648.3114634250097,7.645444909991546,0.01443253945098566,0.015458205629222461
B3,74.39289220507904,8.446978507909378,0.21357998915114249,0.0061265531053717225,572.4442705403363,1.2354027688501013,559.3560007846526,1.1036636988294097,0.023398818886941175,0.0029925604340324077
