CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,56.1875,170.9375,0.23796132827880626,0.0029209723422918693,666.6095564855401,0.9259234867145978,650.5552378943707,0.8916989590790542,0.024677871541134433,0.0019995871614471024
T1,56.1875,170.9375,0.24907037655512687,0.0035415676084773907,656.5775966561129,1.2599145484011387,641.4200306743213,0.9656131326434383,0.02363126384727421,0.0024965993210010573
T2,49.8125,150.75,0.23127862770596472,0.0030373633215061047,648.3279148642606,0.8780920081300356,631.928317385636,1.0492537019600183,0.025951673674748044,0.002198342552026776
T3,46.625,141.1875,0.22948707029839016,0.005019481679353724,642.8727011289831,1.6120199419001406,628.2496108826796,1.5968102148002974,0.023275924080172983,0.003653514844377167
B0,51.866666666666674,157.26666666666665,0.21987448074455065,0.004464600817885098,672.561343363502,1.9778590621596497,653.1802532765284,1.3250247403847661,0.029671886113753043,0.003678586517377605
B1,41.66666666666666,126.66666666666666,0.2135936720451025,0.0032325133732775038,595.9457906679346,2.176011802169625,583.6630630604158,1.0515158039953219,0.021044209210558495,0.004157306719858399
B2,45.06666666666666,141.4,0.21183574019519974,0.004523083679810049,643.5800302663935,1.6015620299844215,631.8484601619431,1.0639982053735237,0.01856706290214527,0.003060519508850068
B3,40.53333333333333,144.79999999999998,0.1971569332768219,0.01001637678449954,651.7721653500554,1.6839959472591972,637.4348765684612,1.921075077220051,0.02249216242885388,0.004058964919368755
