CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,44.5,136.9375,0.18627111553180847,0.0022284373733925545,559.368076064606,0.4616742480652998,549.0564413614321,0.9948470024562983,0.01878064608003749,0.0020284381806477962
T1,45.5625,140.125,0.19022204535584894,0.002737933170240482,554.6536036783998,0.9758072774402923,546.4891043666918,1.0129071699204828,0.01493991233579961,0.0025936751701239203
T2,43.4375,126.3125,0.17612605019247207,0.0021749638323396037,553.6887736511596,1.4679600249952662,545.5049493159514,1.428385533072804,0.015002291629930165,0.0037822170354532797
T3,39.1875,118.875,0.17632456011685393,0.003423049676992564,546.2315535242276,2.024691115732157,538.7185334315101,1.6677927001523953,0.013946095458905683,0.0048968010235944295
B0,40.53333333333333,130.06666666666666,0.17046734443419145,0.003110783244095859,559.7924112979188,1.594357963427814,549.0725695904956,1.7439423259919902,0.019523542608253175,0.004349412202430814
B1,36.0,108.53333333333333,0.16022476025856663,0.0032049665356710796,510.9357716533843,1.2732527759013974,505.88566496546144,0.8530824749613422,0.009982703677257954,0.003038978992126666
B2,40.53333333333333,121.0,0.1614682213118119,0.003890689390077374,552.8159302211018,2.150298339031314,544.580931500409,1.3063809576218968,0.01512171698337661,0.004639062443678601
B3,36.0,123.26666666666665,0.15402653313383932,0.008221355974535858,554.1436193105665,3.4435212067487586,544.5440318578314,0.9622244115603482,0.01762867076145147,0.006574370696135991
