CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,36.0,108.25,0.13628968968779728,0.002907138845324999,450.7363071879847,1.4524424430559681,445.75887881382425,1.7049778652308487,0.011166190087801509,0.005057194324840344
T1,39.1875,115.6875,0.13850003201649544,0.002039311090382464,456.46298000364857,1.0304022635814392,452.51712872244946,0.8646593540165612,0.008719783254037328,0.002983279675972369
T2,34.9375,101.875,0.12753776439054051,0.004691037702713287,443.556676887742,0.43693892899292197,439.6094840445111,0.3991705636380003,0.008978861891048906,0.0013517562154299217
T3,31.75,95.5,0.12843148708907084,0.0017828439880340436,435.9188512492409,1.1325621967916089,432.5321337421074,0.987421890987076,0.007829978960945283,0.003485651442927925
B0,34.866666666666674,101.73333333333332,0.1193398294167293,0.003874102542910447,445.15723099920876,1.2094053686660955,443.6121812450918,0.8711964079526078,0.003482883968110251,0.003363960261914072
B1,31.46666666666667,88.13333333333333,0.11489587142600784,0.0013617287542307657,422.2681056277192,2.1387367647397415,419.5376565875607,1.6230606684980826,0.006508233521556717,0.006414841919227274
B2,31.46666666666667,96.06666666666666,0.11431230941850547,0.001723712539993556,439.1160783696213,0.6833916032637801,437.2187704173767,0.25457905873742553,0.004339493362632618,0.0016688585481252486
B3,29.19999999999999,96.06666666666666,0.10371754526657281,0.005030967279344817,438.236738039374,0.46744129773544085,436.9121143159567,1.4974258753689804,0.003031785295061429,0.003600319845581092
