CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,71.8478391826812,221.23761238161063,0.37191337152072496,0.006089257834367949,911.2584509770753,10.933559692526394,855.7823383410689,9.443144691889835,0.06482502635371823,0.017357626559043805
T1,73.8068753907297,226.28110644501703,0.36334159071638766,0.003398083075918464,889.8064638585485,7.427457109861584,839.0998316020899,7.134836809774901,0.06042979672590865,0.0126354729079881
T2,66.53111258270305,204.0506071232714,0.34860959872130187,0.005336382768514577,875.802360926702,7.5128789121892146,828.1498981374358,6.139009100801473,0.057540866570701565,0.01198984101045249
T3,60.949391845645266,188.13932715056677,0.36193325098923057,0.006821907735856836,869.2225479942894,12.184456637447076,819.8867852060874,10.519760157744736,0.06017387239117511,0.020146722671367502
B0,66.92296961754556,206.2150685170932,0.3465327846160752,0.0029383925539076556,888.2009376281192,3.722809950452099,844.4597045083143,6.499118034885886,0.05179789264814372,0.009217443238158296
B1,57.04446838244825,173.94842662938908,0.33186296289436495,0.004204344499218628,830.6125246084446,9.794279602888945,801.6780181090932,10.887493086076429,0.03609242843853799,0.018634777137714095
B2,62.993700516564125,193.36841975795426,0.32506957716026624,0.00360528599698715,876.655966698109,5.217770390857996,825.3467203813733,5.13980893307728,0.06216689913425344,0.009149834127377597
B3,66.02957387558037,200.22021698876,0.30616116421241,0.010514495101923056,888.7282510052522,7.777171073933942,838.8034127204003,5.225399045408354,0.05951911678916044,0.01138112871987255
