CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err,bsl_rms
T0,37.133333333333326,108.53333333333333,0.13580841904053687,0.003635801374088802,450.3440934876736,1.606828495668337,444.4262584750782,1.5330005555542079,0.011507293050009679,0.004345879574133233,2.5
T1,40.53333333333333,115.33333333333331,0.13825021015248048,0.0023952472395312226,456.38953595768555,1.0736141811516617,452.0841670670205,0.9460825604011414,0.008206769904854246,0.0027390883456786495,2.5
T2,34.866666666666674,101.73333333333332,0.12600476768593466,0.0059266220354905474,443.16792957140837,0.3882237012899433,438.31935656768803,0.37889196593358715,0.009667904520488232,0.0010875275324225338,2.5
T3,32.599999999999994,94.93333333333334,0.12775974362998624,0.002241789018450967,435.424023248829,0.9395783704751715,431.7398830266076,1.520180586086009,0.007443035814542569,0.003632798376439551,2.5
B0,32.599999999999994,98.33333333333331,0.12010354635659995,0.004160413492744117,444.8493239988923,0.8050328538018862,441.1990104702478,0.6839846068083807,0.007279930036827247,0.0021140710018806956,2.5
B1,31.46666666666667,88.13333333333333,0.11530524488857449,0.0012281441028270787,421.414548559951,1.5060604313738293,417.49567751905846,1.3491439123931002,0.008304288744827696,0.004302633605138909,2.5
B2,31.46666666666667,96.06666666666666,0.11431230941850547,0.001723712539993556,440.15134717037625,0.22755287212042488,435.0979168400148,0.5869666033989895,0.010286790319104287,0.001294426825585729,2.5
B3,25.799999999999997,92.66666666666666,0.10791402089288919,0.006500968361787728,437.71697439905586,1.4439074851711562,432.32324096326977,2.240059820810278,0.011129806397604245,0.005547904692667544,2.5
