CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,56.1875,170.9375,0.23796132827880626,0.0029209723422918693,667.1798258317425,1.0773317454990194,649.2595889265284,1.111626213970629,0.0276010354114955,0.002418439193225771
T1,56.1875,170.9375,0.24907037655512687,0.0035415676084773907,656.9949637468017,1.142219819956542,640.6871068652509,0.7410068630949793,0.02545369917203688,0.0021412699486770756
T2,49.8125,150.75,0.23127862770596472,0.0030373633215061047,648.6725840528953,0.8032827735837343,631.4643082491709,1.0096268489706646,0.02725138314061959,0.0020774568450407224
T3,46.625,141.1875,0.22948707029839016,0.005019481679353724,642.661962114408,1.7003880067148505,627.8545925074903,1.215530434606663,0.02358407469439827,0.0033558340209731536
B0,51.866666666666674,157.26666666666665,0.21987448074455065,0.004464600817885098,668.759235306764,2.5046854383207093,649.6354081456452,1.3504811978253144,0.029437784519330545,0.004409623677407306
B1,41.66666666666666,126.66666666666666,0.2135936720451025,0.0032325133732775038,595.8364344371919,1.2287392158757204,581.4460110193044,0.9668802987423784,0.02474937164442892,0.002714697483226592
B2,45.06666666666666,141.4,0.21183574019519974,0.004523083679810049,645.6713169642063,0.7159935553208089,629.806308302689,0.6825898048733303,0.025190298116055887,0.0015896503749655514
B3,40.53333333333333,144.79999999999998,0.1971569332768219,0.01001637678449954,655.4837354238928,2.480225028638028,637.3404520708298,0.7843911647491335,0.02846717683478639,0.004092200104370825
