CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,42.79999999999998,127.79999999999998,0.1708718571841044,0.006403426979430715,553.0528488658198,1.4183339913594364,541.9570185541475,0.8706037839838114,0.01697526716022791,0.0025604217325312295
T1,49.599999999999994,143.66666666666666,0.17996289676343355,0.006840428550037981,556.4214193380536,1.315065982286876,546.3450561812376,2.3545860779527734,0.015124126338820579,0.004105000882262031
T2,42.79999999999998,123.26666666666665,0.16910277366886492,0.0063324122066160055,549.7728398668642,1.3063766762486009,541.6129410320299,1.5766752052819915,0.012518233585939141,0.0031693497683301514
T3,43.93333333333334,133.46666666666667,0.17277328890443605,0.00355378703238565,556.3416789683769,1.6673676395703243,546.658412653425,1.3756522116378136,0.01465312956129067,0.003294621279218052
B0,36.0,118.73333333333332,0.19764286525206573,0.00791655390825947,546.0427726621122,2.8286394800032544,537.1224108935785,3.0666443511292893,0.01332529748220429,0.006288282849756041
B1,40.53333333333333,125.53333333333333,0.19191043139061562,0.00877727119416743,557.5465315344646,1.195123430939169,548.0576804274189,1.186330127453023,0.01399093904077996,0.0025043510214310485
B2,34.866666666666674,106.26666666666665,0.17617508939278276,0.007579760915010546,498.51919924186944,1.2526026654877291,492.7148571521494,1.812909667374615,0.00970492676197249,0.0037138030766818457
B3,29.19999999999999,117.6,0.1900422927825763,0.009977141635517507,526.4713586458453,0.2604281647466716,517.4187885771292,2.933380895181104,0.014170724100385716,0.004689948896176739
