CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,64.33333333333334,196.93333333333334,0.2935911880501907,0.00589080602812309,776.7975111474652,1.2393747923392258,749.6635230578424,1.1642182168829365,0.036194889113644546,0.002307103181984043
T1,66.6,201.46666666666664,0.2972405707494664,0.006870548076667897,762.0852424526848,1.2201627215245545,735.862729708166,0.8116317783900436,0.03563506029843144,0.0020135061692649076
T2,57.53333333333333,176.5333333333333,0.2800131331637602,0.004189095209052873,746.6480830867596,1.9778576171891231,720.0031894547687,1.400814321489232,0.037006632779179816,0.0034083203999893874
T3,53.0,165.2,0.28395120409541363,0.004387070040873913,741.9303406441876,2.419577481564672,717.2000291297385,1.5711635290993877,0.03448174917736302,0.004064144429334464
B0,54.133333333333326,178.8,0.28022276971111915,0.007670957073080251,781.0867728512874,1.992166640265319,750.7260331424803,1.143572076035167,0.040441836793269736,0.0030909158797174786
B1,47.33333333333334,149.33333333333331,0.26549750943904515,0.004222864340638264,690.0018520744815,1.8085091342068598,665.4611501014809,2.2740778376113617,0.03687773804565175,0.004465521076360933
B2,54.133333333333326,166.33333333333331,0.26207894946490007,0.004906989678546915,747.8329313064617,0.9732792520976622,720.3011238920833,1.5211567675348607,0.03822263564662043,0.002575474245848453
B3,41.66666666666666,161.8,0.2549415385760462,0.00867710047014287,761.2729796786166,1.6071951164191727,732.0475546646985,1.6770029745509112,0.03992285040458099,0.0032396699147639865
