CH,A1min,A1max,p,p_err,Qavg,Qavg_err,Qpeak,Qpeak_err,Qap,Qap_err
T0,68.9375,220.875,0.35198683001873476,0.008625053444800756,873.9057029117538,1.1978889403320738,833.4210613329909,1.3474844133000623,0.04857645607612904,0.0022226307319091958
T1,73.1875,227.25,0.3533219428586519,0.006821693747713279,859.8324880557608,1.1120838907664448,822.6064627163294,1.7414572264527528,0.04525374772343427,0.00259309288451787
T2,65.75,206.0,0.33931726159497155,0.0054253489127116545,857.5537690760762,2.207507579612131,816.8097083424221,2.667314047763903,0.049881949635903755,0.0043655560134547924
T3,59.375,186.875,0.343570741157948,0.008172297679247275,828.9790182408894,0.8716431749263044,793.2004585394885,0.9142312202242902,0.045106579700268545,0.0016305114736531404
B0,65.46666666666667,209.39999999999998,0.33261416771440283,0.007650986432732609,881.717636705771,3.2083969427627865,836.7750187581605,4.81841475813225,0.05370932083310631,0.007177538773524998
B1,55.26666666666665,174.26666666666665,0.32133608048377255,0.005953492523924072,810.0696629956894,1.6915091277288659,776.0598921328876,0.9169245482151379,0.04382364197347055,0.002504338799971363
B2,60.93333333333334,192.39999999999998,0.32026853357115315,0.007552570151580428,856.84635956967,0.8461934756710864,818.7331244963392,2.2598269177280206,0.04655147560662942,0.00306797093903899
B3,50.73333333333332,190.13333333333333,0.30120779722601965,0.008020711269422484,864.7467849412459,1.2660275199620705,815.4454686988615,4.3509189564075434,0.06045936624192705,0.005867361797564181
